Domain,Surface,User action,Source file,Source symbol,Current destination type,Current destination,Expected destination type,Expected Native destination,Blocker ID,Severity,Status,Notes
Navigation hub,Master Navigation Drawer,Tap Home,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse,native_route,/pulse,,,PASS,Native PulseSoc Home and feed.
Dashboard,Master Navigation Drawer,Tap Dashboard,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/dashboard,native_route,/pulse/dashboard,,,PASS,User dashboard command center.
Navigation hub,Master Navigation Drawer,Tap Search,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/search,native_route,/pulse/search,,,PASS,"Find people, posts, groups, commerce, and signals."
Navigation hub,Master Navigation Drawer,Tap Activity Inbox,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/activity,native_route,/pulse/activity,,,PASS,"Unified notifications, messages, calls, commerce, and safety events."
Navigation hub,Master Navigation Drawer,Tap Settings,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/settings,native_route,/pulse/settings,,,PASS,"Preferences, account, support, and legal routing."
Messages,Master Navigation Drawer,Tap Messages,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/messages,native_route,/pulse/messages,,,PASS,Native Messenger inbox.
Messages,Master Navigation Drawer,Tap Calls,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,shell,/pulse/calls/qa-call-1,native_route,/pulse/calls/qa-call-1,,,PARTIAL,Native calls foundation and call room shell.
Navigation hub,Master Navigation Drawer,Tap Profile,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/profile,native_route,/pulse/profile,,,PASS,Digital identity hub.
Navigation hub,Master Navigation Drawer,Tap Profile Edit,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/profile/edit,native_route,/pulse/profile/edit,,,PASS,Edit public identity and profile state.
Messages,Master Navigation Drawer,Tap Groups,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/groups,native_route,/pulse/groups,,,PASS,Communities and rooms.
Navigation hub,Master Navigation Drawer,Tap Saved,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/saved,native_route,/pulse/saved,,,PASS,"Saved posts, media, and collections."
Navigation hub,Master Navigation Drawer,Tap Create Post,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/compose,native_route,/pulse/compose,,,PASS,Open the Home composer.
Navigation hub,Master Navigation Drawer,Tap Camera,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/camera/photo?target=feed,native_route,/pulse/camera/photo?target=feed,,,PASS,Native Camera Studio entry.
Navigation hub,Master Navigation Drawer,Tap Creator Studio,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/creator-studio,native_route,/pulse/creator-studio,,,PASS,Creator dashboard and shortcuts.
Navigation hub,Master Navigation Drawer,Tap Content Planner,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,shell,/dashboard/creator/content-planner,native_route,/dashboard/creator/content-planner,,,PARTIAL,"Planner, scheduler, and draft shell."
Navigation hub,Master Navigation Drawer,Tap Draft Studio,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,shell,/dashboard/creator/draft-studio,native_route,/dashboard/creator/draft-studio,,,PARTIAL,Creator drafts and content staging.
Navigation hub,Master Navigation Drawer,Tap Growth Center,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/growth,native_route,/pulse/growth,,,PASS,"Promotion, analytics, eligibility, and growth overview."
Navigation hub,Master Navigation Drawer,Tap Courses,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/courses,native_route,/pulse/courses,,,PASS,Courses and learning gateway.
Navigation hub,Master Navigation Drawer,Tap Events,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/events,native_route,/pulse/events,,,PASS,Events and scheduled Live gateway.
Navigation hub,Master Navigation Drawer,Tap Reels,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/reels,native_route,/pulse/reels,,,PASS,Native Reels viewer.
Navigation hub,Master Navigation Drawer,Tap Status,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/status,native_route,/pulse/status,,,PASS,Status viewer and rail.
Navigation hub,Master Navigation Drawer,Tap Add Status,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/status/create,native_route,/pulse/status/create,,,PASS,Status creator entry.
Navigation hub,Master Navigation Drawer,Tap Live Viewer,mobile-native/src/navigation/masterNavigation.ts,masterNavigation,native,/pulse/live,native_route,/pulse/live,,,PASS,Native Live discovery and viewer foundation.
