work_id,source,agent,branch,commit,files,subsystem,description,dependencies,main_status,production_status,classification,action,destination_commit,test_status,deploy_status,basis
REF-claude-bold-hodgkin-9021f1,branch,claude,claude/bold-hodgkin-9021f1,ee26862c37a1,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-claude-bold-jemison-81cdef,branch,claude,claude/bold-jemison-81cdef,ba213cb8260c,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-claude-businessos-perf-flake,branch,claude,claude/businessos-perf-flake,405470581bd7,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-claude-charming-poincare-180ccb,branch,claude,claude/charming-poincare-180ccb,97acecb11510,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-claude-cool-pasteur-66d0e0,branch,claude,claude/cool-pasteur-66d0e0,767f4fbb3837,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-claude-dreamy-proskuriakova-b042a9,branch,claude,claude/dreamy-proskuriakova-b042a9,2cbc6a637713,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-claude-fervent-bose-488f38,branch,claude,claude/fervent-bose-488f38,daa21d621232,,(whole ref),"1 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-claude-flamboyant-einstein-4510cf,branch,claude,claude/flamboyant-einstein-4510cf,a856843f76cd,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-claude-loving-banach-1ed134,branch,claude,claude/loving-banach-1ed134,31d9685aaaa4,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-claude-nostalgic-neumann-d9391f,branch,claude,claude/nostalgic-neumann-d9391f,997903cf3f6e,,(see per-commit rows),4 commit(s) with no patch-id twin upstream; 0 already equivalent,,ABSENT,NOT_OBSERVED,OBSOLETE,not ported; one invariant carried out of it,ca6edd56,n/a,n/a,"branch tip == detached worktree HEAD 997903cf (same 4 patch ids). Merge 7d8c9ffd on origin/main preserved only the base 6b771754; these 4 commits post-date it. Capability matrix in phase5/worktrees.md: private_facts is in RETIRED_FEATURE_IDS, integrity and structured_records in RETIRED_ENGINE_MODULES, and UNDX holds no facts capability for undx_context.py to govern"
REF-claude-pedantic-solomon-aa99d1,branch,claude,claude/pedantic-solomon-aa99d1,08f26e7bbaa9,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-claude-private-office-simplify,branch,claude,claude/private-office-simplify,0f6395978213,,(see per-commit rows),5 commit(s) with no patch-id twin upstream; 0 already equivalent,,PARTIAL,NOT_OBSERVED,SUPERSEDED,"3 superseded by the rebuild, 2 ported","d6248c30, 50a09228, e93b2da1",n/a,n/a,"0cb23702/291be457/dee12971 are the same withdrawal, rebuilt on pinned origin/main as d6248c30; b5f06a4f and 0f639597 ported as 50a09228 and e93b2da1 (re-authored, so no patch-id twin)"
REF-claude-pushkit-callkit-voip,branch,claude,claude/pushkit-callkit-voip,121604e28529,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
REF-claude-vigilant-solomon-1981e1,branch,claude,claude/vigilant-solomon-1981e1,21630fa008d2,,(whole ref),"0 commit(s), every one patch-id equivalent to something upstream",,PRESENT,NOT_OBSERVED,ALREADY_PRODUCTION,none,,n/a,n/a,git cherry: no '+' lines
